CN,CONTINENT,COUNTRY,STATUS,YEAR
1,AFRICA,Algeria,ILLEGAL,2017
2,AFRICA,Angola,ILLEGAL,2017
3,AFRICA,Benin,LEGAL,2017
4,AFRICA,Botswana,ILLEGAL,2017
5,AFRICA,Burkina Faso,LEGAL,2017
6,AFRICA,Burundi,ILLEGAL,2017
7,AFRICA,Cameroon,ILLEGAL,2017
8,AFRICA,Cape Verde ,LEGAL,2017
9,AFRICA,Central African Republic,LEGAL,2017
10,AFRICA,Chad,LEGAL,2017
11,AFRICA,Comoros,ILLEGAL,2017
12,AFRICA,Congo,LEGAL,2017
13,AFRICA,C??te d'Ivoire,LEGAL,2017
14,AFRICA,Democratic Republic of Congo,LEGAL,2017
15,AFRICA,Djibouti,LEGAL,2017
16,AFRICA,Egypt,DE FACTO ILLEGAL,2017
17,AFRICA,Equatorial Guinea,LEGAL,2017
18,AFRICA,Eritrea,ILLEGAL,2017
19,AFRICA,Eswatini,ILLEGAL,2017
20,AFRICA,Ethiopia,ILLEGAL,2017
21,AFRICA,Gabon,LEGAL,2017
22,AFRICA,Gambia,ILLEGAL,2017
23,AFRICA,Ghana,ILLEGAL,2017
24,AFRICA,Guinea,ILLEGAL,2017
25,AFRICA,Guinea-Bissau,LEGAL,2017
26,AFRICA,Kenya,ILLEGAL,2017
27,AFRICA,Lesotho,LEGAL,2017
28,AFRICA,Liberia,ILLEGAL,2017
29,AFRICA,Libya,ILLEGAL,2017
30,AFRICA,Madagascar,LEGAL,2017
31,AFRICA,Malawi,ILLEGAL,2017
32,AFRICA,Mali,LEGAL,2017
33,AFRICA,Mauritania,ILLEGAL,2017
34,AFRICA,Mauritius,ILLEGAL,2017
35,AFRICA,Morocco,ILLEGAL,2017
36,AFRICA,Mozambique,LEGAL,2017
37,AFRICA,Namibia,ILLEGAL,2017
38,AFRICA,Niger,LEGAL,2017
39,AFRICA,Nigeria,ILLEGAL,2017
40,AFRICA,Rwanda,LEGAL,2017
41,AFRICA,S??o Tome & Principe,LEGAL,2017
42,AFRICA,Senegal,ILLEGAL,2017
43,AFRICA,Seychelles,LEGAL,2017
44,AFRICA,Sierra Leone,ILLEGAL,2017
45,AFRICA,Somalia,ILLEGAL,2017
46,AFRICA,South Africa ,LEGAL,2017
47,AFRICA,South Sudan,ILLEGAL,2017
48,AFRICA,Sudan,ILLEGAL,2017
49,AFRICA,Tanzania,ILLEGAL,2017
50,AFRICA,Togo,ILLEGAL,2017
51,AFRICA,Tunisia,ILLEGAL,2017
52,AFRICA,Uganda,ILLEGAL,2017
53,AFRICA,Zambia,ILLEGAL,2017
54,AFRICA,Zimbabwe,ILLEGAL,2017
1,LAC,Antigua and Barbuda,ILLEGAL,2017
2,LAC,Argentina ,LEGAL,2017
3,LAC,Bahamas ,LEGAL,2017
4,LAC,Barbados,ILLEGAL,2017
5,LAC,Belize,LEGAL,2017
6,LAC,Bolivia,LEGAL,2017
7,LAC,Brazil,LEGAL,2017
8,LAC,Costa Rica ,LEGAL,2017
9,LAC,Chile ,LEGAL,2017
10,LAC,Colombia ,LEGAL,2017
11,LAC,Cuba ,LEGAL,2017
12,LAC,Dominica,ILLEGAL,2017
13,LAC,Dominican Republic ,LEGAL,2017
14,LAC,Ecuador ,LEGAL,2017
15,LAC,El Salvador ,LEGAL,2017
16,LAC,Grenada,ILLEGAL,2017
17,LAC,Guatemala ,LEGAL,2017
18,LAC,Guyana,ILLEGAL,2017
19,LAC,Haiti ,LEGAL,2017
20,LAC,Honduras ,LEGAL,2017
21,LAC,Jamaica,ILLEGAL,2017
22,LAC,Mexico ,LEGAL,2017
23,LAC,Nicaragua ,LEGAL,2017
24,LAC,Panama ,LEGAL,2017
25,LAC,Paraguay,LEGAL,2017
26,LAC,Peru ,LEGAL,2017
27,LAC,St Kitts & Nevis,ILLEGAL,2017
28,LAC,St Lucia,ILLEGAL,2017
29,LAC,St Vincent & the Grenadines,ILLEGAL,2017
30,LAC,Suriname ,LEGAL,2017
31,LAC,Trinidad and Tobago,ILLEGAL,2017
